company,date,scope1_emissions,scope2_emissions,scope3_emissions,total_emissions,emission_intensity,reduction_target,reduction_achieved,carbon_offsets,net_emissions
TechGreen Solutions,2024-01-01,450.2,350.8,449.5,1250.5,12.5,15.0,8.5,200.0,1050.5
EcoInnovate Corp,2024-01-01,750.3,650.2,700.3,2100.8,18.2,12.0,5.2,300.0,1800.8
SustainableVentures,2024-01-01,300.1,250.5,299.6,850.2,8.5,20.0,15.8,250.0,600.2
CleanTech Industries,2024-01-01,650.2,550.1,600.1,1800.4,15.8,14.0,7.2,275.0,1525.4
GreenEnergy Corp,2024-01-01,400.3,300.2,400.1,1100.6,11.2,18.0,12.5,225.0,875.6
BioSolutions Ltd,2024-01-01,850.4,700.3,750.2,2300.9,20.5,10.0,4.2,325.0,1975.9
EcoSmart Systems,2024-01-01,600.1,500.1,550.1,1650.3,14.8,15.0,8.8,250.0,1400.3
RenewableTech,2024-01-01,350.2,250.3,350.2,950.7,9.8,22.0,16.5,275.0,675.7
CircularEco Inc,2024-01-01,625.1,525.0,600.1,1750.2,15.5,13.0,6.8,260.0,1490.2
SustainTech Global,2024-01-01,425.0,375.0,400.1,1200.1,11.8,17.0,11.2,240.0,960.1
TechGreen Solutions,2024-02-01,430.1,340.5,429.6,1200.2,12.0,15.0,9.2,210.0,990.2
EcoInnovate Corp,2024-02-01,730.2,640.1,680.2,2050.5,17.8,12.0,5.8,310.0,1740.5
SustainableVentures,2024-02-01,290.2,240.1,290.1,820.4,8.2,20.0,16.5,260.0,560.4
CleanTech Industries,2024-02-01,630.3,530.2,590.3,1750.8,15.5,14.0,7.8,280.0,1470.8
GreenEnergy Corp,2024-02-01,380.1,290.1,380.1,1050.3,10.8,18.0,13.2,235.0,815.3
BioSolutions Ltd,2024-02-01,830.2,680.2,740.2,2250.6,20.1,10.0,4.8,335.0,1915.6
EcoSmart Systems,2024-02-01,580.2,480.3,540.2,1600.7,14.5,15.0,9.5,260.0,1340.7
RenewableTech,2024-02-01,330.1,240.2,350.2,920.5,9.5,22.0,17.2,285.0,635.5
CircularEco Inc,2024-02-01,610.3,510.2,580.4,1700.9,15.2,13.0,7.5,270.0,1430.9
SustainTech Global,2024-02-01,410.2,360.5,380.1,1150.8,11.5,17.0,11.8,250.0,900.8
TechGreen Solutions,2024-03-01,410.3,330.2,410.3,1150.8,11.5,15.0,10.1,220.0,930.8
EcoInnovate Corp,2024-03-01,710.1,620.0,650.1,1980.2,17.2,12.0,6.5,320.0,1660.2
SustainableVentures,2024-03-01,280.2,230.2,280.2,790.6,7.9,20.0,17.2,270.0,520.6
CleanTech Industries,2024-03-01,600.2,510.1,570.2,1680.5,15.1,14.0,8.5,290.0,1390.5
GreenEnergy Corp,2024-03-01,350.3,280.2,350.2,980.7,10.2,18.0,14.1,245.0,735.7
BioSolutions Ltd,2024-03-01,800.1,660.1,720.1,2180.3,19.5,10.0,5.5,345.0,1835.3
EcoSmart Systems,2024-03-01,560.1,460.2,530.1,1550.4,14.1,15.0,10.2,270.0,1280.4
RenewableTech,2024-03-01,320.1,230.0,340.1,890.2,9.1,22.0,18.1,295.0,595.2
CircularEco Inc,2024-03-01,590.2,500.1,560.2,1650.5,14.8,13.0,8.2,280.0,1370.5
SustainTech Global,2024-03-01,390.1,350.2,360.1,1100.4,11.1,17.0,12.5,260.0,840.4 
