company,date,esg_score,environmental_score,social_score,governance_score,carbon_emissions,water_usage,energy_consumption,waste_generated,renewable_energy_pct
TechGreen Solutions,2024-01-01,85.5,88.2,84.1,84.2,1250.5,45000,75000,320.5,78.5
EcoInnovate Corp,2024-01-01,78.3,82.1,76.5,76.3,2100.8,62000,98000,450.2,65.2
SustainableVentures,2024-01-01,92.1,94.5,90.8,91.0,850.2,38000,62000,280.1,92.8
CleanTech Industries,2024-01-01,81.7,85.3,79.2,80.6,1800.4,55000,85000,380.7,71.4
GreenEnergy Corp,2024-01-01,88.9,91.2,87.5,88.0,1100.6,42000,68000,290.3,85.6
BioSolutions Ltd,2024-01-01,76.2,79.8,74.5,74.3,2300.9,68000,105000,480.5,62.1
EcoSmart Systems,2024-01-01,83.4,86.7,81.2,82.3,1650.3,51000,82000,350.8,74.8
RenewableTech,2024-01-01,90.5,93.1,89.2,89.2,950.7,40000,65000,285.2,89.3
CircularEco Inc,2024-01-01,82.8,85.9,80.8,81.7,1750.2,53000,83000,365.4,73.2
SustainTech Global,2024-01-01,87.6,90.4,86.1,86.3,1200.1,44000,70000,305.6,82.7
TechGreen Solutions,2024-02-01,86.2,89.1,84.8,84.7,1200.2,43500,73000,310.2,80.1
EcoInnovate Corp,2024-02-01,79.5,83.2,77.4,77.9,2050.5,60500,96000,440.8,66.8
SustainableVentures,2024-02-01,92.8,95.1,91.5,91.8,820.4,37000,60000,275.3,93.5
CleanTech Industries,2024-02-01,82.4,86.1,80.1,81.0,1750.8,53500,83000,370.5,72.9
GreenEnergy Corp,2024-02-01,89.5,91.8,88.2,88.5,1050.3,41000,66000,285.7,86.9
BioSolutions Ltd,2024-02-01,77.1,80.5,75.2,75.6,2250.6,66500,102000,470.2,63.5
EcoSmart Systems,2024-02-01,84.2,87.5,82.1,83.0,1600.7,49500,80000,345.1,76.2
RenewableTech,2024-02-01,91.2,93.8,89.9,89.9,920.5,39000,63000,280.8,90.1
CircularEco Inc,2024-02-01,83.5,86.7,81.5,82.3,1700.9,51500,81000,360.1,74.8
SustainTech Global,2024-02-01,88.3,91.1,86.8,87.0,1150.8,42500,68000,300.3,84.1
TechGreen Solutions,2024-03-01,87.1,90.2,85.6,85.5,1150.8,42000,71000,305.8,81.8
EcoInnovate Corp,2024-03-01,80.8,84.5,78.6,79.3,1980.2,58500,94000,430.5,68.5
SustainableVentures,2024-03-01,93.5,95.8,92.2,92.5,790.6,36000,58000,270.7,94.2
CleanTech Industries,2024-03-01,83.2,87.0,81.2,81.4,1680.5,52000,81000,365.2,74.5
GreenEnergy Corp,2024-03-01,90.2,92.5,89.1,89.0,980.7,40000,64000,280.4,88.3
BioSolutions Ltd,2024-03-01,78.4,81.8,76.3,77.1,2180.3,64500,99000,460.8,65.2
EcoSmart Systems,2024-03-01,85.1,88.4,83.2,83.7,1550.4,48000,78000,340.5,77.8
RenewableTech,2024-03-01,91.8,94.5,90.5,90.4,890.2,38000,61000,275.6,91.0
CircularEco Inc,2024-03-01,84.3,87.5,82.4,83.0,1650.5,50000,79000,355.7,76.5
SustainTech Global,2024-03-01,89.1,91.9,87.6,87.8,1100.4,41000,66000,295.9,85.8 
